Age,Flight Distance,Ease of Online booking,Seat comfort,Inflight entertainment,Baggage handling,Checkin service,Gender,Customer Type,Type of Travel,satisfaction
50,216,4,4,4,1,4,1,1,1,0
41,1670,1,4,3,3,4,1,1,1,0
26,3960,1,4,4,5,4,0,0,1,1
25,817,4,3,3,2,3,1,1,1,0
44,1670,3,5,5,4,2,1,1,1,0
21,861,4,1,1,4,4,1,1,1,1
47,406,2,5,4,4,5,0,0,1,1
31,404,4,4,4,2,4,0,0,1,1
57,500,3,5,5,5,4,1,0,0,0
44,689,3,2,5,5,3,0,0,0,0
45,3100,3,3,4,4,3,0,0,1,1
13,525,2,3,3,3,1,0,1,1,0
60,931,0,3,4,5,4,0,0,0,1
41,304,5,2,2,4,4,1,1,1,1
30,1896,1,4,4,3,4,0,0,1,0
51,261,4,1,5,5,1,1,0,1,1
61,347,5,4,3,3,3,1,0,1,1
32,1042,1,4,4,1,5,1,0,1,1
39,1773,4,5,5,3,3,1,0,0,0
19,342,3,3,3,3,1,0,0,0,0
15,297,1,5,5,1,3,1,0,0,0
42,883,3,4,3,4,3,1,1,1,1
16,332,2,4,3,5,4,1,0,0,0
19,2388,5,4,4,1,5,0,0,1,1
29,748,2,1,5,4,3,1,0,0,0
27,1080,3,3,3,3,3,1,1,1,0
22,231,5,5,5,4,3,0,1,1,1
15,551,3,4,4,4,2,1,0,0,0
11,972,1,1,1,4,2,0,1,1,0
34,265,4,5,5,2,1,1,0,0,0
26,488,2,1,1,5,1,1,1,1,0
26,1144,2,4,4,5,3,1,0,0,0
53,2332,5,5,4,4,4,0,0,1,1
36,3024,2,4,4,4,4,0,0,1,0
32,1750,4,1,1,2,4,0,0,1,0
20,483,2,5,5,3,2,0,0,0,0
35,2128,2,1,4,4,5,1,0,1,1
15,235,2,1,1,4,4,0,0,0,0
52,689,2,3,3,2,2,0,0,0,0
45,1852,1,4,2,2,5,0,0,1,1
24,372,4,5,3,4,4,1,1,1,0
46,3705,3,4,4,4,4,1,0,1,0
26,416,3,1,1,2,3,0,1,1,0
28,337,1,4,4,2,3,0,0,1,0
11,335,1,3,3,4,5,0,0,0,0
45,1400,5,5,4,4,3,0,0,1,1
62,2521,4,1,5,4,1,0,0,0,0
34,374,3,1,4,4,5,1,0,1,1
51,308,2,5,4,4,3,0,0,1,1
58,575,4,4,2,2,2,1,0,1,0
22,618,3,3,3,4,5,0,0,0,0
8,1304,4,4,4,4,2,0,0,1,1
26,351,4,2,2,4,4,0,1,1,1
22,549,4,1,3,5,4,1,0,0,0
21,3510,1,3,3,3,1,1,0,1,0
31,1620,4,3,3,2,3,0,0,1,0
44,326,2,5,1,1,2,1,0,0,0
27,588,2,5,5,5,3,0,0,1,1
47,1020,3,5,5,5,3,1,0,1,1
24,2903,3,3,3,2,2,0,0,1,0
67,2659,1,3,1,1,1,0,0,1,0
32,3037,2,4,4,1,3,0,0,1,1
58,2475,4,1,3,4,1,1,0,0,1
12,978,4,1,1,4,5,0,0,0,0
56,2568,1,2,3,3,3,1,0,1,0
58,371,5,5,1,1,3,1,0,0,0
24,791,3,5,5,3,1,0,1,1,0
68,480,3,5,5,3,4,0,0,0,0
46,1786,1,5,5,5,5,0,0,1,1
43,1849,2,4,3,3,3,0,0,1,1
55,3634,0,5,4,1,4,1,0,1,1
54,844,5,4,3,3,3,1,0,0,0
42,3094,5,5,2,2,5,1,0,1,1
47,3465,3,4,1,1,1,1,0,1,0
29,1035,1,5,5,4,4,1,1,1,0
36,237,4,2,2,2,1,1,0,1,0
50,3175,4,5,5,5,4,1,0,1,1
31,760,4,1,1,4,4,1,0,0,0
13,853,1,4,4,5,4,0,0,0,0
24,446,4,5,5,4,2,0,1,1,0
60,1071,2,1,3,3,5,1,0,1,1
42,728,2,4,3,3,3,1,0,0,0
57,2585,2,4,4,4,4,1,0,1,1
42,707,4,4,3,3,4,1,0,1,1
20,861,0,2,2,5,3,0,1,1,1
51,719,2,4,4,4,4,1,0,0,0
45,1790,2,5,5,5,3,0,0,1,1
26,680,5,5,5,5,1,1,0,1,1
26,888,2,5,5,3,2,0,1,1,0
24,1660,2,5,3,2,2,1,0,0,0
49,578,1,5,1,4,5,0,0,1,1
17,606,4,4,5,2,5,1,0,1,1
39,1487,3,5,4,4,4,1,0,1,1
49,317,1,5,4,4,4,1,0,1,1
48,844,4,4,4,4,3,1,0,0,0
52,3747,5,5,4,4,5,0,0,1,1
25,2748,4,3,3,4,5,1,0,1,1
16,1503,5,3,3,3,2,1,0,1,0
58,1717,1,5,4,4,5,0,0,1,1
8,1117,4,3,3,4,4,0,1,1,0
42,1372,5,4,5,4,4,0,0,1,1
52,2768,1,4,4,4,2,1,0,1,0
47,370,3,1,5,5,3,1,0,1,1
69,1546,1,4,1,1,4,1,0,0,0
47,1023,3,3,4,1,3,1,0,0,0
41,3636,1,4,4,4,5,1,0,1,1
40,1325,4,1,1,4,5,1,0,0,0
56,2556,1,1,5,5,1,1,0,0,0
41,1052,2,4,4,4,3,0,0,1,1
40,773,4,3,3,4,4,1,0,1,0
12,817,2,1,1,5,3,0,0,0,0
59,516,3,1,1,4,5,0,0,0,1
21,447,1,2,2,5,3,1,0,0,0
12,462,2,2,2,2,2,0,0,0,0
31,361,5,1,1,3,4,0,0,1,0
37,125,3,2,2,3,4,1,0,0,0
38,271,5,2,2,4,3,1,0,0,1
45,173,0,5,2,4,4,0,0,0,0
43,1950,3,4,4,4,3,0,0,1,1
52,719,2,5,3,3,3,1,0,0,0
57,153,4,4,2,3,4,1,0,1,0
13,337,2,1,1,2,5,1,0,0,0
45,3732,5,5,5,5,3,1,0,1,1
43,3854,5,4,5,5,5,1,0,1,1
53,977,2,2,2,3,2,0,0,1,0
23,3073,1,5,5,1,3,0,0,1,1
16,1379,2,2,2,4,3,1,0,0,0
23,631,2,1,2,4,3,0,0,1,0
45,666,2,4,4,5,4,0,0,0,0
46,2820,2,2,5,5,2,1,0,1,1
49,577,2,5,1,1,4,1,0,0,0
40,2808,3,4,3,4,4,1,0,1,0
19,2172,5,4,4,4,4,1,0,1,1
48,1192,4,3,1,2,3,1,0,0,0
64,1773,3,3,2,2,4,1,0,1,0
38,109,3,5,5,4,1,1,0,1,1
23,1749,1,3,3,4,2,0,0,0,0
38,3753,2,5,4,4,4,1,0,1,1
41,214,1,1,2,5,4,0,0,0,0
29,1020,1,1,1,3,4,0,0,0,0
47,368,2,4,4,2,4,0,0,1,1
50,1448,2,4,4,4,3,0,0,0,0
18,1127,2,3,3,4,3,1,0,0,0
20,545,2,1,5,3,3,1,0,0,0
41,3238,2,5,4,4,3,1,0,1,1
12,2466,2,1,1,5,4,1,0,0,0
36,2715,2,2,4,3,2,1,0,0,0
49,337,3,5,4,4,5,0,0,1,1
55,1608,2,4,5,5,3,1,0,0,0
43,3004,3,3,2,3,1,1,0,1,0
49,980,2,3,3,5,4,1,1,1,0
35,1462,1,3,3,1,3,1,1,1,0
45,1521,3,4,5,5,4,0,0,1,1
28,862,5,5,5,1,1,1,0,1,1
60,1833,4,5,4,4,1,0,0,1,1
35,2398,2,2,2,2,4,0,0,1,0
38,349,3,4,4,4,5,1,1,1,0
48,1722,4,3,4,4,2,0,0,1,1
65,578,3,4,3,3,4,1,0,0,0
30,163,3,1,1,4,5,0,0,0,0
51,395,5,5,3,3,1,1,0,0,0
23,416,5,4,4,5,3,0,1,1,1
37,977,4,3,3,3,3,1,0,1,0
23,3095,5,3,5,4,3,0,0,1,1
32,738,4,4,4,4,3,0,0,1,0
67,719,3,1,1,3,1,0,0,0,0
65,226,1,4,4,4,5,0,0,0,0
48,1943,1,5,5,5,4,1,0,1,1
60,2371,4,5,4,4,3,0,0,1,1
31,551,1,3,3,3,4,1,0,1,0
22,493,5,4,4,2,3,0,0,1,1
27,925,2,5,5,5,1,0,1,1,0
19,405,2,1,1,4,4,1,0,0,0
26,1055,3,4,4,4,2,1,1,1,0
72,305,3,4,4,3,1,0,0,1,0
34,589,5,5,5,5,5,1,0,1,1
45,1587,2,4,4,4,4,1,0,1,1
51,3090,4,4,2,2,4,0,0,1,0
26,804,2,3,4,4,1,1,1,1,0
12,719,3,1,1,4,4,1,0,0,0
72,67,3,4,3,3,4,1,0,1,0
45,550,4,4,4,3,5,0,0,1,1
22,2809,2,5,5,4,5,1,0,1,1
53,552,4,4,5,5,4,1,0,0,0
33,356,3,4,4,5,5,1,1,1,0
46,119,4,4,4,4,3,1,0,0,0
54,1545,2,5,5,5,4,0,0,1,1
40,819,3,4,4,3,1,1,0,1,0
37,1801,3,3,2,2,1,1,0,1,0
35,1658,5,1,5,3,3,1,0,1,1
26,114,5,4,4,5,4,1,1,1,1
62,128,3,1,5,5,3,1,0,1,1
58,813,1,5,3,3,5,0,0,1,1
55,349,2,5,2,2,5,1,0,0,0
60,1508,1,2,3,3,2,1,0,1,0
15,89,3,1,5,4,3,1,0,0,0
67,157,4,5,5,3,4,0,0,0,0
43,2828,1,4,3,3,5,0,0,1,1
30,3131,1,5,5,4,5,0,0,1,1
42,718,4,3,5,5,3,1,0,1,1
40,1959,3,4,4,5,4,0,0,1,1
47,3496,2,5,5,5,4,0,0,1,1
38,2300,2,3,4,4,3,0,0,1,0
25,2845,3,3,1,2,3,1,0,0,0
26,406,3,3,5,1,3,0,1,1,0
66,580,2,4,4,5,3,0,0,0,0
69,735,4,4,1,1,4,1,0,1,0
22,1722,5,2,2,3,3,1,0,1,0
8,1201,2,3,3,1,5,0,0,0,0
37,372,5,4,4,5,3,1,1,1,1
69,1072,1,4,1,1,4,1,0,0,0
28,733,2,4,4,3,3,0,0,1,0
51,1075,1,2,2,4,4,0,0,1,0
46,2586,3,4,2,3,4,1,0,0,0
39,140,4,2,4,4,4,0,1,1,1
21,903,4,1,1,3,1,1,1,1,0
46,2423,4,4,4,4,5,0,0,1,1
36,3130,2,5,5,5,5,1,0,1,1
60,2198,3,4,4,4,3,0,0,1,1
23,602,5,1,2,4,4,0,0,1,0
52,685,4,4,4,5,5,0,0,0,1
36,1208,5,4,4,2,2,0,0,1,1
41,2789,2,3,4,4,3,0,0,1,1
45,3305,2,5,4,4,4,0,0,1,1
67,2342,3,2,5,3,1,0,0,0,0
45,3712,4,5,4,4,5,1,0,1,1
56,1431,3,5,1,1,2,1,0,0,0
62,255,2,2,2,3,1,1,1,1,0
30,3720,1,2,2,3,3,1,0,1,0
48,1107,5,4,4,4,1,0,0,1,1
32,2999,2,4,4,5,3,1,0,1,1
30,2438,1,2,2,5,3,1,0,1,1
40,156,1,2,4,5,5,1,1,1,0
42,3665,5,4,4,4,4,0,0,1,1
52,2917,5,5,3,4,5,1,0,1,1
50,1235,5,4,5,5,4,0,0,1,1
18,549,2,2,2,4,5,1,0,0,0
30,1500,3,5,5,4,3,0,0,1,1
26,190,3,1,1,4,3,1,1,1,0
37,468,4,4,4,4,4,0,1,1,1
64,261,0,1,1,3,3,0,0,0,0
21,255,5,2,2,5,3,0,1,1,1
52,1609,4,4,3,3,1,1,0,1,0
52,413,5,4,5,5,4,1,0,1,1
29,119,2,2,5,3,2,1,0,0,0
13,387,2,1,1,3,1,1,0,0,0
28,1087,3,5,5,4,5,0,0,1,1
13,323,2,2,2,4,4,0,0,0,0
16,282,2,5,5,5,5,0,0,0,0
58,1721,3,5,4,4,4,0,0,1,1
24,347,3,5,5,4,5,0,1,1,0
25,3465,4,2,2,3,4,0,0,1,0
34,948,2,4,4,4,3,0,0,0,0
44,1707,5,3,5,5,2,1,0,1,1
23,1372,3,1,1,3,4,1,0,0,0
20,369,5,1,1,4,4,0,1,1,1
8,552,4,3,3,2,3,0,0,0,0
26,1188,5,4,1,4,3,1,0,1,0
43,1005,4,5,5,4,3,0,0,1,0
72,1870,1,4,2,2,1,1,0,1,0
48,896,4,4,2,2,5,1,0,1,1
27,429,4,1,3,4,4,0,0,0,0
25,1796,2,4,1,3,4,0,0,1,0
26,842,1,5,5,3,4,0,1,1,0
16,1107,3,3,1,3,2,0,1,1,0
36,327,2,5,5,5,3,1,1,1,0
55,432,2,4,3,2,4,0,0,0,0
23,577,1,5,5,4,2,1,1,1,1
50,1877,4,4,2,2,1,0,0,1,0
45,1123,5,4,5,5,5,1,0,1,1
57,1749,1,5,5,5,4,0,0,1,1
50,2454,3,5,3,3,3,1,0,1,1
42,270,1,3,4,4,1,1,0,0,0
34,1825,2,5,5,5,3,1,0,1,1
17,191,1,2,4,4,2,1,1,1,0
45,679,4,4,5,5,3,0,0,1,1
59,812,2,5,2,2,5,1,0,1,1
39,1056,3,5,5,4,5,0,0,1,1
28,101,1,2,2,3,2,0,0,1,0
44,73,2,4,1,1,2,1,0,0,0
9,936,4,4,4,5,5,0,0,0,1
24,287,0,5,5,2,2,1,0,1,0
37,255,3,3,3,4,1,1,0,0,0
25,317,0,5,5,2,4,1,1,1,1
22,2027,2,4,4,4,4,0,0,1,1
55,936,3,5,3,3,5,0,0,1,1
53,432,3,4,4,3,1,0,0,1,1
46,888,3,4,4,4,3,1,0,1,1
62,1061,0,5,5,5,5,0,0,0,1
53,216,4,4,5,5,5,1,0,1,1
50,1814,3,4,5,5,5,1,0,1,1
57,2993,5,2,4,4,4,0,0,1,1
54,2632,3,4,3,3,3,1,0,1,1
42,199,1,5,5,4,5,1,0,1,1
17,802,2,4,4,3,1,0,0,0,0
53,581,1,4,4,4,3,1,0,1,1
49,1938,2,5,4,4,5,0,0,1,1
37,174,5,5,5,5,3,1,0,1,1
35,326,2,4,4,5,5,0,0,1,1
30,1821,1,1,2,2,4,0,0,1,0
16,1437,0,5,5,4,4,1,0,0,0
46,3995,4,4,5,5,5,0,0,1,1
51,1488,3,4,2,2,4,1,0,1,0
70,1892,1,1,1,4,4,0,0,0,0
26,502,2,2,5,4,4,0,1,1,0
46,2491,3,5,4,4,5,0,0,1,1
12,944,2,1,1,4,1,1,0,0,0
25,496,4,4,4,5,4,0,0,1,1
63,329,2,5,4,4,4,1,0,1,1
48,402,1,5,4,4,5,1,0,1,1
43,3946,3,5,4,4,5,1,0,1,1
35,337,5,5,4,4,3,1,0,1,1
32,2133,4,4,4,5,3,1,0,1,1
44,192,2,4,4,4,1,0,0,0,0
60,491,1,5,5,2,5,0,0,0,0
20,1120,2,2,2,4,3,1,0,0,0
10,1440,1,4,4,3,5,1,0,0,0
51,140,3,3,3,2,2,1,0,1,0
22,451,2,2,2,5,4,1,0,0,0
42,798,1,2,3,3,3,1,0,0,0
32,3607,1,5,5,5,1,0,0,1,1
24,1096,2,1,1,4,3,0,0,0,0
43,373,2,4,5,5,5,1,0,1,1
7,405,3,4,4,4,3,0,0,0,0
29,2542,4,5,5,1,3,0,0,1,1
48,907,2,3,4,4,2,1,0,1,1
25,1258,3,2,1,3,2,0,1,1,0
25,550,2,1,1,4,4,0,0,0,0
35,602,4,5,2,2,5,1,0,1,1
57,1399,2,3,2,2,1,1,0,1,0
52,3245,4,3,5,5,4,0,0,1,1
17,677,0,4,4,5,5,1,0,1,1
30,1616,3,1,1,4,4,1,0,0,0
38,1561,3,4,5,5,5,0,0,1,1
38,285,5,3,4,4,5,1,0,1,1
38,1189,1,3,3,5,3,1,1,1,0
23,1021,2,3,3,5,5,0,1,1,1
39,2442,5,4,4,4,4,1,0,1,1
55,918,2,2,1,1,1,1,0,1,0
25,545,3,5,5,5,3,1,1,1,0
59,459,2,4,4,4,1,0,0,1,0
9,804,1,1,1,5,3,1,0,0,0
26,569,0,1,3,4,5,1,1,1,1
51,3991,5,5,4,4,5,0,0,1,1
40,1620,2,4,5,5,4,0,0,1,1
56,1173,5,4,3,3,3,0,0,1,0
56,236,3,5,4,4,1,1,0,0,0
18,134,2,4,3,3,4,1,0,0,0
8,647,3,5,2,3,3,1,0,0,0
33,654,3,4,4,2,1,0,0,1,1
46,2623,3,4,5,5,3,0,0,1,1
41,209,4,3,2,4,1,1,0,1,0
36,257,3,3,4,4,1,1,0,1,1
26,1629,1,5,5,2,3,0,0,1,1
36,371,3,5,5,2,4,1,1,1,0
31,2201,5,2,2,3,3,0,0,1,1
24,836,2,1,1,1,1,0,0,0,0
39,3081,5,4,2,2,3,1,0,1,1
20,859,4,4,4,3,2,1,1,1,0
69,1055,2,5,2,2,5,1,0,0,0
27,399,1,5,5,3,2,1,1,1,0
10,632,4,2,3,4,4,1,0,1,0
60,3626,2,4,5,5,3,0,0,1,1
44,833,2,4,4,4,3,0,0,1,1
68,1288,2,5,4,4,4,1,0,0,0
41,2163,3,4,3,3,3,0,0,1,0
46,645,2,3,2,4,3,1,0,1,0
54,515,2,3,3,3,2,0,0,1,0
44,3767,1,2,2,1,4,1,0,1,0
43,888,5,4,4,4,2,0,1,0,1
44,288,5,4,4,4,4,1,1,1,1
26,1024,4,5,5,4,4,1,1,1,0
48,3185,2,4,5,5,5,0,0,1,1
30,2974,4,4,4,4,3,0,0,1,1
46,2981,1,4,5,5,3,1,0,1,1
23,1428,2,2,2,5,3,0,1,1,0
39,2454,5,4,5,5,5,0,0,1,1
24,3482,5,4,4,5,4,0,0,1,1
48,296,4,4,2,2,3,1,0,0,0
63,391,3,4,5,5,3,0,0,0,0
37,3744,5,5,5,4,5,0,0,1,1
37,1558,1,4,4,4,1,0,0,1,0
57,1389,3,4,5,5,4,0,0,1,1
21,1947,2,1,1,3,5,0,0,0,0
9,776,2,4,2,3,1,0,0,1,0
24,3536,5,4,4,5,3,1,0,1,1
36,414,3,3,3,5,4,0,1,1,0
44,3165,2,5,4,4,5,0,0,1,1
49,1600,5,4,0,2,2,1,0,1,0
42,3605,4,4,4,4,4,0,0,1,1
52,247,0,4,5,5,3,1,0,0,1
52,550,4,2,2,3,4,0,0,1,0
20,446,4,1,1,4,2,0,0,0,0
47,728,1,2,5,5,1,0,0,1,1
45,3692,2,2,2,2,3,0,0,1,0
44,3979,4,5,4,4,3,1,0,1,1
47,3546,2,2,2,2,2,1,0,1,0
57,177,5,1,5,3,4,1,0,1,1
34,760,4,4,3,3,3,1,0,1,1
26,2378,5,5,4,5,4,1,0,1,1
45,228,0,5,3,3,4,1,0,1,1
33,163,4,5,4,3,4,1,0,1,1
22,251,1,3,2,5,4,0,1,1,0
51,406,5,5,4,4,4,0,0,1,1
60,624,4,4,1,2,4,0,0,0,1
40,3764,1,4,4,4,4,0,0,1,1
62,696,5,2,2,2,3,0,0,1,0
68,746,3,5,2,2,4,1,0,0,0
38,2930,5,4,2,2,4,0,0,1,0
44,192,5,4,5,5,3,0,0,1,1
11,507,3,1,1,4,5,0,0,0,0
33,226,1,2,2,4,4,1,0,0,0
10,338,3,4,5,4,5,1,0,0,0
51,380,4,2,2,3,3,0,0,1,1
34,3144,4,4,5,5,5,0,0,1,1
69,3714,1,2,4,4,3,0,0,1,0
49,90,2,4,4,4,4,1,0,1,1
30,204,5,2,2,4,2,0,0,1,0
40,399,3,1,1,2,5,1,0,0,0
29,802,2,2,2,4,4,1,0,0,0
68,406,3,3,3,3,4,0,0,0,0
53,676,5,4,2,2,1,1,0,1,0
24,1476,4,5,5,4,4,1,0,1,1
43,3677,4,4,4,4,4,0,0,1,1
7,1034,2,4,5,3,4,0,0,0,0
65,1042,4,4,4,2,5,1,0,0,0
8,597,4,2,2,5,4,1,0,0,0
50,1635,1,4,4,5,3,0,0,0,0
26,2556,3,4,4,4,4,0,0,0,0
24,859,3,2,2,4,3,1,0,0,0
55,1236,1,4,5,5,5,1,0,0,0
21,192,3,1,1,3,1,1,1,1,0
57,649,4,3,4,4,5,1,0,1,1
22,936,2,4,4,1,4,0,0,1,1
49,484,3,4,4,4,5,1,0,0,0
31,2279,1,3,3,5,3,1,0,0,0
21,1444,4,1,4,4,1,0,1,1,1
38,1389,5,2,2,5,3,1,1,1,1
42,1846,2,3,1,1,2,1,0,1,0
55,1884,1,5,4,5,4,0,0,1,1
26,285,1,3,3,3,1,0,1,1,0
43,2256,1,4,1,1,1,0,0,1,0
12,2342,3,3,4,4,3,0,0,0,0
32,163,4,2,2,4,2,1,0,1,0
46,2502,2,3,4,4,3,1,0,1,1
19,337,2,3,4,3,4,0,0,1,0
38,261,5,3,4,4,3,1,0,1,1
52,332,3,4,4,4,4,1,0,1,1
47,707,1,3,3,3,1,0,1,1,0
19,888,2,1,1,4,5,0,0,0,0
43,301,3,5,4,2,4,1,0,0,0
23,130,1,2,2,3,1,1,0,1,0
45,3052,5,4,3,3,5,0,0,1,1
58,2405,5,4,3,3,2,1,0,0,1
25,2585,3,3,3,4,3,0,1,1,0
68,666,4,2,1,1,5,1,0,0,0
64,3239,3,4,4,4,3,1,0,1,1
57,2718,2,5,5,5,4,0,0,1,1
43,362,4,3,4,4,3,1,0,1,0
28,3545,2,5,5,5,3,0,0,1,1
30,813,2,3,3,4,3,0,1,1,0
23,1698,2,5,5,1,4,0,0,1,1
37,148,4,3,4,5,4,0,1,1,1
54,544,2,5,4,4,4,0,0,1,1
40,3011,5,5,5,5,5,1,0,1,1
47,783,2,5,5,1,4,0,0,1,1
24,255,5,4,3,4,4,1,1,1,1
25,140,3,4,4,3,1,1,0,0,0
40,809,4,4,4,2,4,1,0,1,1
38,2472,3,4,5,5,3,1,0,1,1
45,175,1,5,3,3,3,1,0,1,1
29,331,2,3,3,5,3,1,0,0,0
42,2243,4,4,2,2,3,1,0,1,1
42,1874,3,3,3,3,2,1,1,1,0
27,326,3,5,5,1,4,0,1,1,0
38,130,4,1,1,4,3,0,1,1,0
64,1158,0,5,4,4,4,1,0,0,0
46,2074,4,2,4,4,4,0,0,1,0
46,1635,3,4,2,2,3,0,0,1,1
53,1744,3,5,2,2,4,1,0,1,1
48,1703,4,4,4,1,4,0,0,0,0
9,883,3,1,1,3,3,1,0,0,0
39,1979,3,4,4,4,3,0,0,1,1
16,306,2,5,5,5,5,0,0,0,0
29,992,2,5,5,5,4,0,0,0,0
41,2077,2,5,5,5,3,1,0,1,1
51,3304,2,5,5,5,4,0,0,1,1
42,2274,2,2,5,5,3,1,0,1,1
51,1084,5,4,4,4,5,0,0,1,1
50,2335,5,5,4,4,5,1,0,1,1
48,1851,1,5,4,4,5,0,0,1,1
50,3960,4,4,5,4,4,0,0,1,1
20,1269,2,3,3,3,3,0,1,1,0
36,965,3,3,3,1,5,1,1,1,0
10,192,2,5,2,4,5,0,1,0,0
64,1728,4,1,1,3,2,0,0,0,0
58,541,2,1,1,4,3,0,0,0,0
55,1440,2,5,5,5,5,1,0,1,1
64,213,2,5,5,5,5,1,0,0,0
52,3496,5,5,5,5,4,0,0,1,1
10,325,3,1,1,4,3,0,0,0,0
7,491,4,5,5,3,3,0,1,1,0
43,253,5,1,5,5,3,1,0,1,1
42,1010,4,3,5,5,1,1,0,1,1
16,2899,5,4,3,5,4,1,0,1,1
51,2093,1,4,4,4,5,0,0,1,1
35,2295,1,2,1,1,1,0,0,1,0
47,1749,3,5,5,5,1,0,0,0,0
35,668,2,5,5,5,4,1,1,1,0
13,1384,5,4,3,3,4,1,0,1,0
24,326,0,3,3,3,3,0,0,1,1
34,2627,1,1,5,5,5,0,0,1,1
51,1644,2,5,5,5,4,0,0,1,1
39,813,1,2,2,3,3,0,1,1,0
35,200,1,2,2,5,4,1,1,1,0
48,304,4,4,5,5,4,1,0,1,1
44,373,1,5,5,2,5,0,0,1,1
66,1097,4,5,3,3,5,1,0,0,0
26,472,3,3,3,3,5,0,0,0,0
65,745,4,5,3,1,4,1,0,0,0
20,1394,1,4,3,4,4,1,1,1,0
30,607,3,3,3,4,3,0,0,0,0
40,67,5,4,4,1,4,0,0,1,1
45,1294,3,2,2,4,3,0,0,0,0
58,1208,4,2,2,4,4,0,0,0,0
37,107,2,4,3,4,4,0,1,1,0
37,235,4,4,4,5,4,1,1,1,0
25,1009,0,5,5,5,3,0,0,0,1
26,1303,2,3,3,3,2,1,1,1,0
27,628,2,4,4,4,5,1,0,1,1
52,1517,4,3,3,5,5,0,0,0,1
26,2836,5,5,5,4,3,0,0,1,1
58,1034,4,5,3,5,5,0,0,1,1
50,2350,1,3,3,3,3,0,0,1,0
11,529,4,4,4,4,4,1,1,1,0
25,483,0,5,5,5,5,0,1,1,1
22,480,3,3,3,4,1,0,1,1,0
43,2588,0,5,3,5,5,0,0,0,1
